RNase,260_280
None,2.08
None,2.09
None,2.11
None,2.13
None,2.13
None,2.14
None,2.12
None,2.08
None,2.11
None,2.11
None,2.14
None,2.15
None,2.03
None,2.11
None,2.12
None,2.06
None,2.07
None,2.09
None,2.12
None,2.14
None,2.09
None,2.09
None,2.11
None,2.12
Added,2.00
Added,2.01
Added,1.96
Added,1.94
Added,1.97
Added,1.93
Added,2.04
Added,1.89
Added,2.04
Added,2.01
Added,2.01
Added,2.03
Added,2.12
Added,2.09
Added,2.11
Added,2.09
Added,2.11
Added,2.14
Added,2.11
Added,2.09
Added,2.10
Added,2.09
Added,2.06
Added,2.11